INFO: Pandarallel will run on 8 workers.
INFO: Pandarallel will use Memory file system to transfer data between the main process and workers.
{"event": "eval_start", "selected": 7, "resume_committed": 0, "committed_errors": 0, "crash_only_resume": false}
2026-08-13 18:04:43.531 | DEBUG    | eval.evaluation.data_loader:extract_dataframe:167 - find markdown_str 
| 产品系列 | 产品名称 | 芯片名称 | 发布日期 | 总线接口 | 显存容量 | 显存类型 | 显存位宽 | 核心频率( ...
2026-08-13 18:04:59.813 | INFO     | eval.evaluation.metric_utils:primary_key_preprocess:246 - primary_key_preprocess result: ```json
{
  "RIVA 128": "Riva 128",
2026-08-13 18:07:37.480 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1907, target: 1907
2026-08-13 18:07:37.480 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1908, target: 1908
2026-08-13 18:07:37.480 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1909, target: 1909
2026-08-13 18:07:37.480 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1922, target: 1922
2026-08-13 18:07:37.480 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1923, target: 1923
2026-08-13 18:07:37.480 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1921, target: 1921
2026-08-13 18:07:37.480 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1947, target: 1947
2026-08-13 18:07:37.480 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1949, target: 1949
2026-08-13 18:07:37.480 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1949, target: 1949
2026-08-13 18:07:37.480 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1953, target: 1953
2026-08-13 18:07:37.480 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1970, target: 1970
2026-08-13 18:07:37.480 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1973, target: 1973
2026-08-13 18:07:37.480 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1952, target: 1952
2026-08-13 18:07:37.480 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1954, target: 1954
2026-08-13 18:07:37.480 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1957, target: 1957
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1967, target: 1967
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1970, target: 1970
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1972, target: 1972
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1950, target: 1950
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1951, target: 1951
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1952, target: 1952
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1982, target: 1982
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1984, target: 1984
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1986, target: 1986
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1968, target: 1968
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1971, target: 1971
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1974, target: 1974
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1985, target: 1985
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1985, target: 1985
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 1989, target: 1992
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1989, target: 1989
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1993, target: 1993
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1995, target: 1995
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1968, target: 1968
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1975, target: 1975
2026-08-13 18:07:37.481 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1974, target: 1974
2026-08-13 18:07:37.482 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1977, target: 1977
2026-08-13 18:07:37.482 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1981, target: 1981
2026-08-13 18:07:37.482 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1995, target: 1995
2026-08-13 18:07:37.482 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 1998, target: 1998
2026-08-13 18:07:37.482 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 2000, target: 2000
2026-08-13 18:07:37.482 | DEBUG    | eval.evaluation.evaluation:evaluate_single_query:321 - wide2deep_ws_zh_023, col 首次出版年份, metric_func_name exact_match, score [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2026-08-13 18:07:37.487 | INFO     | eval.evaluation.evaluation:evaluate_single_query:380 - wide2deep_ws_zh_023, P/R/F1 by unique_columns: 0.8519/0.8519/0.8519
2026-08-13 18:07:37.487 | INFO     | eval.evaluation.evaluation:evaluate_single_query:383 - wide2deep_ws_zh_023, P/R/F1 by row: 0.7407/0.7407/0.7407
2026-08-13 18:07:37.487 | INFO     | eval.evaluation.evaluation:evaluate_single_query:386 - wide2deep_ws_zh_023, P/R/F1 by item: 0.8194/0.8194/0.8194
2026-08-13 18:07:37.491 | INFO     | eval.evaluation.evaluation:evaluate_single_query:398 - wide2deep_ws_zh_023, final table score: 0.0
{"event": "eval_done", "idx": 3, "instance_id": "wide2deep_ws_zh_023", "score": 0.0, "entity_acc": 1.0, "f1_by_row": 0.7407407407407407, "f1_by_item": 0.8194444444444444, "column_f1": 0.8518518518518519, "error": null, "elapsed_seconds": 12.373, "running_n": 3}
{"event": "eval_done", "idx": 4, "instance_id": "wide2deep_ws_zh_030", "score": 0.0, "entity_acc": 0.0, "f1_by_row": 0.0, "f1_by_item": 0.0, "column_f1": 0.0, "error": null, "elapsed_seconds": 2.538, "running_n": 4}
2026-08-13 18:07:41.147 | DEBUG    | eval.evaluation.data_loader:extract_dataframe:167 - find markdown_str 
| 饭店名称 | 市区 | 星级标牌号 | 具体地址 |
| --- | --- | --- | --- |
| 北京饭店 | ...
2026-08-13 18:07:59.158 | INFO     | eval.evaluation.metric_utils:primary_key_preprocess:246 - primary_key_preprocess result: ```json
{
  "北京饭店": "北京饭店",
  "北京贵宾楼饭店": "北京贵宾楼饭店",
  "北京国际饭店": "北京国际饭店",
  "北京王府半岛酒店": "王府饭店",
  "北京天伦王朝饭店": "北京天伦王朝饭店",
  "北京励骏酒店": "北京励骏酒店",
  "北京金隅喜来登大酒店": "北京金隅喜来登酒店",
  "北京东方君悦大酒店": "北京东方君悦大酒店",
  "北京金融街威斯汀大酒店": "北京威斯汀酒店",
  "北京金融街丽思卡尔顿酒店": "北京金融街丽思卡尔顿酒店",
  "北京国宾酒店": "北京国宾酒店",
  "北京长城饭店": "北京市长城饭店",
  "北京昆仑饭店": "昆仑饭店",
  "北京中国大饭店": "中国大饭店",
  "北京燕莎中心凯宾斯基饭店": "北京燕莎中心有限公司凯宾斯基饭店",
  "北京名人国际大酒店": "北京名人国际大酒店",
  "北京世纪金源大饭店": "北京世纪金源大饭店",
  "北京香格里拉饭店": "北京香格里拉饭店",
  "北京新世纪饭店": "北京新世纪饭店",
  "北京西苑饭店": "西苑饭店",
  "北京中关村皇冠假日酒店": "北京中关村皇冠假日酒店",
  "北京嘉里大酒店": "北京嘉里大酒店",
  "北京富力万丽酒店": "北京富力万丽酒店",
  "北京人卫酒店": "人卫酒店",
  "北京鹏润国际大酒店": "鹏润国际大酒店",
  "北京昆泰嘉华酒店": "北京昆泰嘉华酒店",
  "北京北辰洲际酒店": "北京北辰洲际酒店",
  "北京伯豪瑞廷酒店": "北京伯豪瑞廷酒店",
  "北京新云南皇冠假日酒店": "新云南皇冠假日酒店",
  "北京丰大国际大酒店": "北京丰大国际大酒店",
  "北京辉煌假日度假酒店": "北京辉煌松山度假酒店"
}
```
2026-08-13 18:07:59.158 | INFO     | eval.evaluation.evaluation:evaluate_single_query:223 - col: 饭店名称, primary_key_map {'北京饭店': '北京饭店', '北京贵宾楼饭店': '北京贵宾楼饭店', '北京国际饭店': '北京国际饭店', '北京王府半岛酒店': '王府饭店', '北京天伦王朝饭店': '北京天伦王朝饭店', '北京励骏酒店': '北京励骏酒店', '北京金隅喜来登大酒店': '北京金隅喜来登酒店', '北京东方君悦大酒店': '北京东方君悦大酒店', '北京金融街威斯汀大酒店': '北京威斯汀酒店', '北京金融街丽思卡尔顿酒店': '北京金融街丽思卡尔顿酒店', '北京国宾酒店': '北京国宾酒店', '北京长城饭店': '北京市长城饭店', '北京昆仑饭店': '昆仑饭店', '北京中国大饭店': '中国大饭店', '北京燕莎中心凯宾斯基饭店': '北京燕莎中心有限公司凯宾斯基饭店', '北京名人国际大酒店': '北京名人国际大酒店', '北京世纪金源大饭店': '北京世纪金源大饭店', '北京香格里拉饭店': '北京香格里拉饭店', '北京新世纪饭店': '北京新世纪饭店', '北京西苑饭店': '西苑饭店', '北京中关村皇冠假日酒店': '北京中关村皇冠假日酒店', '北京嘉里大酒店': '北京嘉里大酒店', '北京富力万丽酒店': '北京富力万丽酒店', '北京人卫酒店': '人卫酒店', '北京鹏润国际大酒店': '鹏润国际大酒店', '北京昆泰嘉华酒店': '北京昆泰嘉华酒店', '北京北辰洲际酒店': '北京北辰洲际酒店', '北京伯豪瑞廷酒店': '北京伯豪瑞廷酒店', '北京新云南皇冠假日酒店': '新云南皇冠假日酒店', '北京丰大国际大酒店': '北京丰大国际大酒店', '北京辉煌假日度假酒店': '北京辉煌松山度假酒店'}
2026-08-13 18:07:59.165 | INFO     | eval.evaluation.evaluation:evaluate_single_query:275 - wide2deep_ws_zh_039, df_inner shape: (31, 8), answer_df shape: (57, 4), response_df shape: (54, 5)
2026-08-13 18:07:59.166 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 东城区, target: 东城区
2026-08-13 18:07:59.166 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 东城区, target: 东城区
2026-08-13 18:07:59.166 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 朝阳区, target: 朝阳区
2026-08-13 18:07:59.166 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 朝阳区, target: 朝阳区
2026-08-13 18:07:59.166 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 朝阳区, target: 朝阳区
2026-08-13 18:07:59.166 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 朝阳区, target: 朝阳区
2026-08-13 18:07:59.166 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 朝阳区, target: 朝阳区
2026-08-13 18:07:59.166 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 东城区, target: 东城区
2026-08-13 18:07:59.166 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 海淀区, target: 海淀区
2026-08-13 18:07:59.166 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 海淀区, target: 海淀区
2026-08-13 18:07:59.166 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 海淀区, target: 海淀区
2026-08-13 18:07:59.166 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 海淀区, target: 海淀区
2026-08-13 18:07:59.166 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 西城区, target: 西城区
2026-08-13 18:07:59.166 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 东城区, target: 东城区
2026-08-13 18:07:59.166 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 东城区, target: 东城区
2026-08-13 18:07:59.166 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 东城区, target: 东城区
2026-08-13 18:07:59.166 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 朝阳区, target: 朝阳区
2026-08-13 18:07:59.167 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 西城区, target: 西城区
2026-08-13 18:07:59.167 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 朝阳区, target: 朝阳区
2026-08-13 18:07:59.167 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 朝阳区, target: 朝阳区
2026-08-13 18:07:59.167 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 朝阳区, target: 朝阳区
2026-08-13 18:07:59.167 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 东城区, target: 东城区
2026-08-13 18:07:59.167 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 西城区, target: 朝阳区
2026-08-13 18:07:59.167 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 海淀区, target: 海淀区
2026-08-13 18:07:59.167 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 朝阳区, target: 朝阳区
2026-08-13 18:07:59.167 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 朝阳区, target: 朝阳区
2026-08-13 18:07:59.167 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 经开区, target: 大兴区
2026-08-13 18:07:59.167 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 朝阳区, target: 朝阳区
2026-08-13 18:07:59.167 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 朝阳区, target: 朝阳区
2026-08-13 18:07:59.167 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 东城区, target: 东城区
2026-08-13 18:07:59.167 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 1.0 msg exact match, response: 延庆区, target: 延庆区
2026-08-13 18:07:59.168 | DEBUG    | eval.evaluation.evaluation:evaluate_single_query:321 - wide2deep_ws_zh_039, col 市区, metric_func_name exact_match, score [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]
2026-08-13 18:07:59.168 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 1150019, target: 1150001
2026-08-13 18:07:59.168 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 1150021, target: 1150004
2026-08-13 18:07:59.168 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 1150003, target: 1150005
2026-08-13 18:07:59.168 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150008
2026-08-13 18:07:59.168 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 1150006, target: 1150010
2026-08-13 18:07:59.168 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150013
2026-08-13 18:07:59.168 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 1150004, target: 1150014
2026-08-13 18:07:59.168 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 1150009, target: 1150016
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150018
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 1150007, target: 1150019
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150020
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150023
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150024
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 1150001, target: 1150028
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 1150002, target: 1150031
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150032
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150038
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150042
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150047
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150052
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150054
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150059
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150062
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150063
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150065
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150067
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150068
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150069
2026-08-13 18:07:59.169 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150070
2026-08-13 18:07:59.170 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150072
2026-08-13 18:07:59.170 | DEBUG    | eval.evaluation.evaluation:metric_call:77 - metric_func_name exact_match score 0.0 msg exact not match, response: 未知, target: 1150077
2026-08-13 18:07:59.170 | DEBUG    | eval.evaluation.evaluation:evaluate_single_query:321 - wide2deep_ws_zh_039, col 星级标牌号, metric_func_name exact_match, score [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2026-08-13 18:08:14.009 | DEBUG    | eval.evaluation.evaluation:evaluate_single_query:321 - wide2deep_ws_zh_039, col 具体地址, metric_func_name llm_judge, score [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]
2026-08-13 18:08:14.014 | INFO     | eval.evaluation.evaluation:evaluate_single_query:380 - wide2deep_ws_zh_039, P/R/F1 by unique_columns: 0.5741/0.5439/0.5586
2026-08-13 18:08:14.014 | INFO     | eval.evaluation.evaluation:evaluate_single_query:383 - wide2deep_ws_zh_039, P/R/F1 by row: 0.0000/0.0000/0.0000
2026-08-13 18:08:14.014 | INFO     | eval.evaluation.evaluation:evaluate_single_query:386 - wide2deep_ws_zh_039, P/R/F1 by item: 0.4120/0.3904/0.4009
2026-08-13 18:08:14.017 | INFO     | eval.evaluation.evaluation:evaluate_single_query:398 - wide2deep_ws_zh_039, final table score: 0.0
{"event": "eval_done", "idx": 5, "instance_id": "wide2deep_ws_zh_039", "score": 0.0, "entity_acc": 1.0, "f1_by_row": 0.0, "f1_by_item": 0.4009009009009009, "column_f1": 0.5585585585585585, "error": null, "elapsed_seconds": 33.952, "running_n": 5}
2026-08-13 18:08:15.923 | DEBUG    | eval.evaluation.data_loader:extract_dataframe:167 - find markdown_str 
| 作品名称 | 导演 | 类型 | 制片国家/地区 | 片长 |
| --- | --- | --- | --- | --- ...
2026-08-13 18:08:20.470 | INFO     | eval.evaluation.metric_utils:primary_key_preprocess:246 - primary_key_preprocess result: ```json
{
  "小丑（获金狮奖）": "小丑",
  "真相": "真相",
  "关于无尽": "关于无尽 ",
  "星际探索": "星际探索 ",
  "乳牙": "乳牙",
  "等待野蛮人": "等待野蛮人 ",
  "厄玛": "厄玛",
  "世界的胜利": "世界的胜利 ",
  "荣誉之客": "荣誉之客 ",
  "我控诉": "我控诉 ",
  "黑手党不再是从前的样子": "黑手党不再是曾经 ",
  "马丁·伊登": "马丁·伊登 ",
  "马约尔广场的市长": "非常市长 ",
  "婚姻故事": "婚姻故事 ",
  "继园台七号": "继园台七号 ",
  "被涂污的鸟": "被涂污的鸟 ",
  "兰心大剧院": "兰心大剧院",
  "洗钱风云": "自助洗衣店",
  "黄蜂网络": "黄蜂网络 "
}
```
2026-08-13 18:08:20.470 | INFO     | eval.evaluation.evaluation:evaluate_single_query:223 - col: 作品名称, primary_key_map {'小丑（获金狮奖）': '小丑', '真相': '真相', '关于无尽': '关于无尽 ', '星际探索': '星际探索 ', '乳牙': '乳牙', '等待野蛮人': '等待野蛮人 ', '厄玛': '厄玛', '世界的胜利': '世界的胜利 ', '荣誉之客': '荣誉之客 ', '我控诉': '我控诉 ', '黑手党不再是从前的样子': '黑手党不再是曾经 ', '马丁·伊登': '马丁·伊登 ', '马约尔广场的市长': '非常市长 ', '婚姻故事': '婚姻故事 ', '继园台七号': '继园台七号 ', '被涂污的鸟': '被涂污的鸟 ', '兰心大剧院': '兰心大剧院', '洗钱风云': '自助洗衣店', '黄蜂网络': '黄蜂网络 '}
2026-08-13 18:08:20.477 | INFO     | eval.evaluation.evaluation:evaluate_single_query:275 - wide2deep_ws_zh_042, df_inner shape: (19, 10), answer_df shape: (21, 5), response_df shape: (21, 6)
2026-08-13 18:08:24.563 | DEBUG    | eval.evaluation.evaluation:evaluate_single_query:321 - wide2deep_ws_zh_042, col 导演, metric_func_name llm_judge, score [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2026-08-13 18:08:30.048 | DEBUG    | eval.evaluation.evaluation:evaluate_single_query:321 - wide2deep_ws_zh_042, col 类型, metric_func_name llm_judge, score [1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]
2026-08-13 18:08:35.219 | DEBUG    | eval.evaluation.evaluation:evaluate_single_query:321 - wide2deep_ws_zh_042, col 制片国家/地区, metric_func_name llm_judge, score [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
